4.9,1+1 / Неприкасаемые (2012)
4.9,8 миля (2002)
4.9,Адвокат дьявола (1997)
4.9,Без лица (1997)
4.9,Брюс Всемогущий (2003)
4.9,В погоне за счастьем (2006)
4.9,ВаллИ (2008)
4.9,Ван Хельсинг (2004)
4.9,Властелин колец 2: Две крепости (2002)
4.9,Властелин колец 3: Возвращение Короля (2003)
4.9,Враг государства (1998)
4.9,Все путем (2009)
4.9,Всегда говори ДА (2008)
4.9,Гнев (2004)
4.9,Гран Торино (2008)
4.9,Двухсотлетний человек (1999)
4.9,Дежа вю (2006)
4.9,Достучаться до небес (1997)
4.9,Законопослушный гражданин (2009)
4.9,Звездная пыль (2007)
4.9,Зеленая миля (1999)
4.9,Игра по чужим правилам (2006)
4.9,Кейт и Лео (2001)
4.9,Константин: Повелитель тьмы (2005)
4.9,Крепкий орешек 2 (1990)
4.9,Леон (1994)
4.9,Лжец, лжец (1997)
4.9,Майор Пэйн (1995)
4.9,Малышка на миллион (2004)
4.9,Мемуары гейши (2005)
4.9,Назад в будущее (1985)
4.9,Назад в будущее 3 (1990)
4.9,Невидимая сторона (2009)
4.9,Нечего терять (1997)
4.9,Нокдаун (2005)
4.9,Области тьмы (2011)
4.9,Общество мертвых поэтов (1989)
4.9,Октябрьское небо (1999)
4.9,Побег из Шоушенка (1994)
4.9,Поймай меня, если сможешь (2002)
4.9,Пока не сыграл в ящик (2007)
4.9,Последний самурай (2003)
4.9,Предложение (2009)
4.9,Привет, Джули! (2010)
4.9,Прислуга (2011)
4.9,Пятый элемент (1997)
4.9,Разборка в Бронксе (1995)
4.9,Разрушитель (1993)
4.9,Рокки 3 (1982)
4.9,Рокки Бальбоа (2006)
4.9,Самый быстрый Индиан (2005)
4.9,Семь жизней (2008)
4.9,Смертельное оружие 2 (1989)
4.9,Смертельное оружие 4 (1998)
4.9,Сонная Лощина (1999)
4.9,Спасатель (2006)
4.9,Счастливое число Слевина (2005)
4.9,Тренер Картер (2005)
4.9,Ураган (1999)
4.9,Форрест Гамп (1994)
4.9,Хористы (2004)
4.9,Хранители снов (2012)
4.9,Хулиганы (2005)
4.9,Шоу Трумана (1998)
4.9,Я, робот (2004)
4.8,10 причин моей ненависти (1999)
4.8,11 друзей Оушена (2001)
4.8,127 часов (2010)
4.8,13 воин (1999)
4.8,1408 (2007)
4.8,16 кварталов (2006)
4.8,22 пули: Бессмертный (2010)
4.8,27 свадеб (2008)
4.8,38-я параллель (2004)
4.8,50 первых поцелуев (2004)
4.8,А в душе я танцую (2004)
4.8,Август Раш (2007)
4.8,Али (2001)
4.8,Американская история Х (1998)
4.8,Американский пирог 8: Все в сборе (2012)
4.8,Анализируй то (2002)
4.8,Анализируй это (1999)
4.8,Ангелы и Демоны (2009)
4.8,Армагеддон (1998)
4.8,Астерикс и Обеликс: Миссия Клеопатра (2001)
4.8,Багровые реки (2000)
4.8,База Клейтон (2003)
4.8,Балто (1995)
4.8,Балто 2: В поисках волка (2002)
4.8,Балто 3: Крылья перемен (2004)
4.8,Банды Нью-Йорка (2002)
4.8,Бегущий человек (1987)
4.8,Без чувств (1998)
4.8,Бездна (1989)
4.8,Безумно влюбленный (1981)
4.8,Белые цыпочки (2004)
4.8,Белый плен (2006)
4.8,Бесконечная история (1984)
4.8,Бесстрашный (2006)
4.8,Близнецы (1988)
4.8,Блэйд (1998)
4.8,Блэйд 2 (2002)
4.8,Боги, наверное, сошли с ума 2 (1989)
4.8,Бойцовский клуб (1999)
4.8,Большой (1988)
4.8,Большой Стэн (2007)
4.8,Большой куш (2000)
4.8,Большой папа (1999)
4.8,Большой солдат (2010)
4.8,Брат (1997)
4.8,Брат 2 (2000)
4.8,Брестская крепость (2010)
4.8,Бриллиантовый полицейский (1999)
4.8,Бурлеск (2010)
4.8,Быстрее пули (2010)
4.8,Быстрый и мертвый (1995)
4.8,Бэтмен: Начало (2005)
4.8,В бой идут одни «старики» (1973)
4.8,В джазе только девушки (1959)
4.8,В поисках Немо (2003)
4.8,Вам письмо (1998)
4.8,Васаби (2001)
4.8,Вверх (2009)
4.8,Век Адалин (2015)
4.8,Великан (1998)
4.8,Великий Гэтсби (2013)
4.8,Взрыв из прошлого (1999)
4.8,Виноваты звезды (2014)
4.8,Вкус жизни (2007)
4.8,Властелин колец: Братство кольца (2001)
4.8,Власть страха (1999)
4.8,Вне времени (2003)
4.8,Воды слонам! (2011)
4.8,Воздушная тюрьма (1997)
4.8,Воздушный маршал (2014)
4.8,Воин (2011)
4.8,Война (2007)
4.8,Война невест (2009)
4.8,Вокруг света за 80 дней (2004)
4.8,Волшебная страна (2004)
4.8,Ворон (1994)
4.8,Ворон (2012)
4.8,Впритык (2010)
4.8,Враг государства №1: Легенда (2008)
4.8,Время (2011)
4.8,Все или ничего (2005)
4.8,Вспоминая Титанов (2000)
4.8,Вспомнить всё (1990)
4.8,Второй шанс (2006)
4.8,Выстрел в пустоту (2017)
4.8,Гангстер (2007)
4.8,Ганнибал (2001)
4.8,Гарри Поттер и Дары Смерти: Часть 2 (2011)
4.8,Гарри Поттер и Кубок огня (2005)
4.8,Гарри Поттер и Орден Феникса (2007)
4.8,Гарри Поттер и Принц-полукровка (2009)
4.8,Гарри Поттер и Тайная комната (2002)
4.8,Гарри Поттер и узник Азкабана (2004)
4.8,Гарри Поттер и философский камень (2001)
4.8,Геркулес (1997)
4.8,Гладиатор (2000)
4.8,Гол! (2005)
4.8,Голая правда (2009)
4.8,Голос улиц (2015)
4.8,Город ангелов (1998)
4.8,Город воров (2010)
4.8,Город героев (2014)
4.8,Грань будущего (2014)
4.8,Дальняя дорога (2015)
4.8,Два брата (2004)
4.8,Двадцать одно (2008)
4.8,Двое: Я и моя тень (1995)
4.8,Двойная жизнь Чарли Сан-Клауда (2010)
4.8,Девять (2009)
4.8,Девять ярдов (2000)
4.8,Дежурный папа (2003)
4.8,Дело храбрых (2017)
4.8,Дело №39 (2009)
4.8,День независимости (1996)
4.8,День сурка (1993)
4.8,Деньги на двоих (2005)
4.8,Десятидюймовый герой (2007)
4.8,Десятое королевство (2000)
4.8,Детсадовский полицейский (1990)
4.8,Джанго освобожденный (2012)
4.8,Джейн Остин (2006)
4.8,Джек Ричер (2012)
4.8,Джон Кью (2002)
4.8,Джонни Д. (2009)
4.8,Джуманджи (1995)
4.8,Дневник баскетболиста (1995)
4.8,Дневник памяти (2004)
4.8,Дневники принцессы 2: Как стать королевой (2004)
4.8,Доброе утро (2010)
4.8,Дом большой мамочки 2 (2006)
4.8,Дом грез (2011)
4.8,Дом летающих кинжалов (2004)
4.8,Дом у озера (2006)
4.8,Донни Браско (1997)
4.8,Дорога на Эльдорадо (2000)
4.8,Доспехи Бога (1986)
4.8,Доспехи Бога 2: Операция Кондор (1991)
4.8,Другие (2001)
4.8,Другой мир (2003)
4.8,Другой мир 2: Эволюция (2006)
4.8,Дублеры (2000)
4.8,Дьявол носит Прада (2006)
4.8,Дэнни Цепной пес (2005)
4.8,Дюплекс (2003)
4.8,Если свекровь монстр (2005)
4.8,Еще одна из рода Болейн (2008)
4.8,Жадность (1994)
4.8,Железный человек (2008)
4.8,Железный человек 2 (2010)
4.8,Жена путешественника во времени (2009)
4.8,Живая сталь (2011)
4.8,Жизнь Дэвида Гейла (2003)
4.8,Жизнь, как она есть (2010)
4.8,За бортом (1987)
4.8,Забойный реванш (2014)
4.8,Загадочная история Бенджамина Баттона (2008)
4.8,Заложница (2007)
4.8,Заплати другому (2000)
4.8,Звездные войны: Эпизод 3 – Месть Ситхов (2005)
4.8,Звездные войны: Эпизод 6 – Возвращение Джедая (1983)
4.8,Звездные врата (1994)
4.8,Звездный десант (1997)
4.8,Звездный путь (2009)
4.8,Зверополис (2016)
4.8,Землетрясение (2010)
4.8,Знакомство с Факерами 2 (2010)
4.8,Знакомьтесь, Джо Блэк (1998)
4.8,Знамение (2009)
4.8,Значит, война (2012)
4.8,И в печали, и в радости (2001)
4.8,Иван Васильевич меняет профессию (1973)
4.8,Игра (1997)
4.8,Игрушка (1976)
4.8,Игры разума (2001)
4.8,Идальго: Погоня в пустыне (2004)
4.8,Из 13 в 30 (2004)
4.8,Из Парижа с любовью (2010)
4.8,Из ада (2001)
4.8,Изгой (2000)
4.8,Изо всех сил (1987)
4.8,Иллюзионист (2006)
4.8,Индиана Джонс 2: Храм судьбы (1984)
4.8,Индиана Джонс 3: Последний крестовый поход (1989)
4.8,Иностранец (2017)
4.8,Интервью с вампиром (1994)
4.8,Интуиция (2001)
4.8,Ип Ман (2008)
4.8,Ип Ман 2 (2010)
4.8,Искупление (2007)
4.8,История дельфина (2011)
4.8,История рыцаря (2001)
4.8,Исходный код (2011)
4.8,К9: Собачья работа (1989)
4.8,Кавказская пленница, или Новые приключения Шурика (1967)
4.8,Казино (1995)
4.8,Как выйти замуж за 3 дня (2010)
4.8,Как отделаться от парня за 10 дней (2003)
4.8,Как приручить дракона (2010)
4.8,Как приручить дракона 2 (2014)
4.8,Камера 211 (2009)
4.8,Карты, деньги, два ствола (1998)
4.8,Каспер (1995)
4.8,Класс (2007)
4.8,Клик: С пультом по жизни (2006)
4.8,Клуб Завтрак (1985)
4.8,Клятва (2012)
4.8,Книга Илая (2010)
4.8,Кокаин (2001)
4.8,Коко Шанель (2008)
4.8,Команда А (2010)
4.8,Контакт (1997)
4.8,Корабль-призрак (2002)
4.8,Короли улиц (2008)
4.8,Король Лев (1994)
4.8,Король говорит! (2010)
4.8,Корпорация монстров (2001)
4.8,Костолом (2001)
4.8,Кошмар на улице Вязов (1984)
4.8,Кошмар на улице Вязов 3: Воины сна (1987)
4.8,Кошмар на улице Вязов 5: Дитя сна (1989)
4.8,Красавица и чудовище (1991)
4.8,Красный Дракон (2002)
4.8,Крепкий орешек (1988)
4.8,Крепкий орешек 3: Возмездие (1995)
4.8,Крепкий орешек 4.0 (2007)
4.8,Крестный отец 2 (1974)
4.8,Крестный отец 3 (1990)
4.8,Криминальное чтиво (1994)
4.8,Кровавый алмаз (2006)
4.8,Кто я? (1998)
4.8,Левша (2015)
4.8,Легенда о пианисте (1998)
4.8,Легенда №17 (2013)
4.8,Легенды ночных стражей (2010)
4.8,Ледниковый период (2002)
4.8,Ледниковый период 2: Глобальное потепление (2006)
4.8,Ледниковый период 3: Эра динозавров (2009)
4.8,Лекарь: Ученик Авиценны (2014)
4.8,Лига выдающихся джентльменов (2003)
4.8,Линкольн для адвоката (2011)
4.8,Лицо со шрамом (1983)
4.8,Ловушка для родителей (1998)
4.8,Лучшее предложение (2013)
4.8,Лысый нянька: Спецзадание (2005)
4.8,Люди в черном (1997)
4.8,Люди в черном 2 (2002)
4.8,Люди в черном 3 (2012)
4.8,Мадагаскар 2 (2008)
4.8,Мальчик в девочке (2006)
4.8,Мальчик в полосатой пижаме (2008)
4.8,Мальчишник в Вегасе (2009)
4.8,Мальчишник в Вегасе 2: Из Вегаса в Бангкок (2011)
4.8,Марли и я (2008)
4.8,Маска (1994)
